success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
true,fullscreen,0,2083,0.0-0.0,Anuj Yadav_kfto8jwfcz3lvf3,,,,,,,,,,,,,,,,
,image-button-response,1,3292,0.0-1.0,Anuj Yadav_kfto8jwfcz3lvf3,1207,../../assets/images/overview.png,0,,,,,,,,,,,,,
,survey-likert,2,6735,0.0-2.0,Anuj Yadav_kfto8jwfcz3lvf3,3441.2999999523163,,[object Object],,,,,,,,,,,,,
,survey-text,3,13929,0.0-3.0,Anuj Yadav_kfto8jwfcz3lvf3,7186.599999904633,,[object Object],,,,,,,,,,,,,
,webgazer-init-camera,4,15544,0.0-4.0,Anuj Yadav_kfto8jwfcz3lvf3,,,,438,,,,,,,,,,,,
true,fullscreen,5,17213,0.0-5.0,Anuj Yadav_kfto8jwfcz3lvf3,,,,,,,,,,,,,,,,
,html-button-response,6,17637,0.0-6.0,Anuj Yadav_kfto8jwfcz3lvf3,422.5,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<ul>
		<li style=""text-align:left; padding:8px; font-size: 18px"">    Now we will calibrate the web gazer.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">It will take 2-3 minutes.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">On the next screen you will see a sequence of black dots. There will be 20 of them.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">Keep your head steady and look at each dot for atleast 3 seconds, then click the dot.</li>
		</ul></div>",0,,,,,,,,,,,,,
,webgazer-calibrate,7,28219,0.0-7.0-0.0,Anuj Yadav_kfto8jwfcz3lvf3,,,,,,,,,,,,,,,,
,webgazer-calibrate,8,39983,0.0-7.0-0.1,Anuj Yadav_kfto8jwfcz3lvf3,,,,,,,,,,,,,,,,
,html-button-response,9,40880,0.0-8.0,Anuj Yadav_kfto8jwfcz3lvf3,895.7999999523163,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<p>Let's see how accurate the eye tracking is. </p>
		<p>Keep your head still, and move your eyes to focus on each dot as it appears.</p>
		<p>You do not need to click on the dots. Just move your eyes to look at the dots.</p>
		",0,,,,,,,,,,,,,
