success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
true,fullscreen,0,4520,0.0-0.0,HELLOOO_qwf214zlvamxncu,,,,,,,,,,,,,,,,
,image-button-response,1,6157,0.0-1.0,HELLOOO_qwf214zlvamxncu,1635.6000000014901,../../assets/images/overview.png,0,,,,,,,,,,,,,
,survey-likert,2,10260,0.0-2.0,HELLOOO_qwf214zlvamxncu,4101.299999998882,,[object Object],,,,,,,,,,,,,
,survey-text,3,25764,0.0-3.0,HELLOOO_qwf214zlvamxncu,15496.299999998882,,[object Object],,,,,,,,,,,,,
,webgazer-init-camera,4,31480,0.0-4.0,HELLOOO_qwf214zlvamxncu,,,,1616,,,,,,,,,,,,
true,fullscreen,5,33889,0.0-5.0,HELLOOO_qwf214zlvamxncu,,,,,,,,,,,,,,,,
,html-button-response,6,35067,0.0-6.0,HELLOOO_qwf214zlvamxncu,1176.800000000745,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<ul>
		<li style=""text-align:left; padding:8px; font-size: 18px"">    Now we will calibrate the web gazer.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">It will take 2-3 minutes.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">On the next screen you will see a sequence of black dots. There will be 20 of them.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">Keep your head steady and look at each dot for atleast 3 seconds, then click the dot.</li>
		</ul></div>",0,,,,,,,,,,,,,
,webgazer-calibrate,7,45713,0.0-7.0-0.0,HELLOOO_qwf214zlvamxncu,,,,,,,,,,,,,,,,
,webgazer-calibrate,8,55758,0.0-7.0-0.1,HELLOOO_qwf214zlvamxncu,,,,,,,,,,,,,,,,
,html-button-response,9,57142,0.0-8.0,HELLOOO_qwf214zlvamxncu,1382.699999999255,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<p>Let's see how accurate the eye tracking is. </p>
		<p>Keep your head still, and move your eyes to focus on each dot as it appears.</p>
		<p>You do not need to click on the dots. Just move your eyes to look at the dots.</p>
		",0,,,,,,,,,,,,,
,webgazer-validate,10,72621,0.0-9.0,HELLOOO_qwf214zlvamxncu,,,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0,0,0,0","[object Object],[object Object],[object Object],[object Object]","25,25,25,75,75,25,75,75",29.41,,,,,,,
,html-button-response,11,73744,0.0-10.0,HELLOOO_qwf214zlvamxncu,1121.300000000745,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #eaf4f4""><p style=""font-size:20px"">Welcome to the Task 1:</p><h1>Stroop Color/Word</h1>",0,,,,,,,,,,,,,
,instructions,12,76297,0.0-11.0,HELLOOO_qwf214zlvamxncu,2551.9000000003725,,,,,,,,,"[object Object],[object Object],[object Object]",,,,,,
,html-keyboard-response,13,77066,0.0-12.0-0.0,HELLOOO_qwf214zlvamxncu,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
,html-keyboard-response,14,77545,0.0-12.0-1.0,HELLOOO_qwf214zlvamxncu,478.30000000074506,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;""><p class=""stimulus"" style=""color:rgb(0,255,0);"">Blue</p></div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",arrowdown,,,,,,,,practice trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,15,77947,0.0-12.0-2.0,HELLOOO_qwf214zlvamxncu,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">Correct!</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,,,,,,
,html-keyboard-response,16,79706,0.0-12.0-0.1,HELLOOO_qwf214zlvamxncu,,"<table border=""0"" width=""600""><tr height=""250""><td></td></tr><tr height=""250""><td><div style=""font-size:60px;"">+</div></td></tr><tr height=""250""><td valign=""bottom""><img src=""../../assets/images/on_trial.png"" width = ""500""></td></tr></table>",,,,,,,,,fixation,,,,,
