success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
true,fullscreen,0,4760,0.0-0.0,Anuj_lmr9kv6ve6gbmn5,,,,,,,,,,,,,,,,
,image-button-response,1,5647,0.0-1.0,Anuj_lmr9kv6ve6gbmn5,885.2999999970198,../../assets/images/overview.png,0,,,,,,,,,,,,,
,survey-likert,2,8301,0.0-2.0,Anuj_lmr9kv6ve6gbmn5,2653.199999999255,,[object Object],,,,,,,,,,,,,
,survey-text,3,17188,0.0-3.0,Anuj_lmr9kv6ve6gbmn5,8879.60000000149,,[object Object],,,,,,,,,,,,,
,webgazer-init-camera,4,22743,0.0-4.0,Anuj_lmr9kv6ve6gbmn5,,,,1629,,,,,,,,,,,,
true,fullscreen,5,24497,0.0-5.0,Anuj_lmr9kv6ve6gbmn5,,,,,,,,,,,,,,,,
,html-button-response,6,25299,0.0-6.0,Anuj_lmr9kv6ve6gbmn5,800.1999999992549,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<ul>
		<li style=""text-align:left; padding:8px; font-size: 18px"">    Now we will calibrate the web gazer.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">It will take 2-3 minutes.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">On the next screen you will see a sequence of black dots. There will be 20 of them.</li>
		<li style=""text-align:left; padding:8px; font-size: 18px"">Keep your head steady and look at each dot for atleast 3 seconds, then click the dot.</li>
		</ul></div>",0,,,,,,,,,,,,,
,webgazer-calibrate,7,33920,0.0-7.0-0.0,Anuj_lmr9kv6ve6gbmn5,,,,,,,,,,,,,,,,
,webgazer-calibrate,8,43213,0.0-7.0-0.1,Anuj_lmr9kv6ve6gbmn5,,,,,,,,,,,,,,,,
,html-button-response,9,43986,0.0-8.0,Anuj_lmr9kv6ve6gbmn5,772.3000000007451,"<div style=""width: 800px;border: thin solid #0000FF ; border-radius: 10px ;"">
		<p>Let's see how accurate the eye tracking is. </p>
		<p>Keep your head still, and move your eyes to focus on each dot as it appears.</p>
		<p>You do not need to click on the dots. Just move your eyes to look at the dots.</p>
		",0,,,,,,,,,,,,,
